generation,avg_fitness_div,avg_hamming_div,avg_nntd_div,avg_maxfitness,COUNT(*)
406,0.1663000000,0.1644848400,0.4633367400,73.69,100
405,0.1671000000,0.1682921200,0.4751010700,73.66,100
404,0.1670000000,0.1762571400,0.4874852600,73.66,100
403,0.1661000000,0.1723405100,0.4794785300,73.64,100
402,0.1633000000,0.1686531200,0.4686219000,73.6,100
401,0.1619000000,0.1719193600,0.4764435200,73.6,100
400,0.1612000000,0.1741145500,0.4825653500,73.55,100
399,0.1606000000,0.1722073800,0.4757681400,73.52,100
398,0.1609000000,0.1685136500,0.4657734500,73.46,100
397,0.1594000000,0.1659915800,0.4612554600,73.45,100
396,0.1580000000,0.1647079900,0.4553983900,73.41,100
395,0.1598000000,0.1546085600,0.4364075400,73.35,100
394,0.1611000000,0.1567806900,0.4414280300,73.34,100
393,0.1613000000,0.1572271500,0.4468616500,73.32,100
392,0.1606000000,0.1604558600,0.4528757900,73.3,100
391,0.1597000000,0.1669958200,0.4669312900,73.27,100
390,0.1592000000,0.1690314500,0.4719049400,73.27,100
389,0.1581000000,0.1717548200,0.4738374900,73.26,100
388,0.1616000000,0.1639543000,0.4620681700,73.26,100
387,0.1645000000,0.1644159000,0.4614502000,73.26,100
386,0.1650000000,0.1615286800,0.4552382800,73.26,100
385,0.1645000000,0.1595093000,0.4521770500,73.23,100
384,0.1667000000,0.1552886400,0.4447447200,73.23,100
383,0.1666000000,0.1603295200,0.4571966300,73.22,100
382,0.1650000000,0.1703694700,0.4774293400,73.16,100
381,0.1674000000,0.1694684600,0.4760446600,73.16,100
380,0.1639000000,0.1704319700,0.4794534700,73.15,100
379,0.1632000000,0.1746040300,0.4817916600,73.15,100
378,0.1619000000,0.1719664300,0.4737963000,73.15,100
377,0.1616000000,0.1734997700,0.4782386900,73.13,100
376,0.1605000000,0.1782454500,0.4886999800,73.11,100
375,0.1609000000,0.1709655000,0.4743890400,73.1,100
374,0.1609000000,0.1641560800,0.4617252800,73.1,100
373,0.1593000000,0.1687255300,0.4715721900,73.07,100
372,0.1617000000,0.1678340100,0.4708684100,73.06,100
371,0.1612000000,0.1748302200,0.4874612500,73.06,100
370,0.1591000000,0.1722251100,0.4814028800,73.05,100
369,0.1546000000,0.1732637700,0.4789709100,73.04,100
368,0.1542000000,0.1679738700,0.4692686100,73.04,100
367,0.1555000000,0.1679118100,0.4670150800,73.04,100
366,0.1574000000,0.1664852300,0.4627087500,73.04,100
365,0.1589000000,0.1562542400,0.4423436600,73.02,100
364,0.1592000000,0.1621577300,0.4542777000,73,100
363,0.1585000000,0.1626353300,0.4554526800,72.99,100
