generation,avg(diversity),avg(p.max_fitness),max(p.max_fitness),COUNT(*)
2001,0.0346631892,24.07562162162163,53.808,37
2000,0.0312049730,24.07562162162163,53.808,37
1999,0.0333622973,24.07562162162163,53.808,37
1998,0.0307591351,24.07562162162163,53.808,37
1997,0.0317179459,24.07562162162163,53.808,37
1996,0.0310110811,24.07562162162163,53.808,37
1995,0.0300705135,24.07562162162163,53.808,37
1994,0.0317498919,24.07562162162163,53.808,37
1993,0.0295327027,24.07562162162163,53.808,37
1992,0.0313615676,24.07562162162163,53.808,37
1991,0.0307787027,24.07562162162163,53.808,37
1990,0.0315216486,24.07562162162163,53.808,37
1989,0.0314284324,24.07562162162163,53.808,37
1988,0.0320741892,24.07562162162163,53.808,37
1987,0.0353071351,24.07562162162163,53.808,37
1986,0.0305170000,24.07562162162163,53.808,37
1985,0.0312796216,24.07562162162163,53.808,37
1984,0.0315599189,24.07562162162163,53.808,37
1983,0.0298026757,24.07562162162163,53.808,37
1982,0.0323259730,24.07562162162163,53.808,37
1981,0.0310730000,24.07562162162163,53.808,37
1980,0.0311796757,24.07562162162163,53.808,37
1979,0.0332938108,24.07562162162163,53.808,37
1978,0.0317582162,24.07562162162163,53.808,37
1977,0.0314022703,24.07562162162163,53.808,37
1976,0.0329431081,24.07562162162163,53.808,37
1975,0.0336903243,24.07562162162163,53.808,37
1974,0.0343790541,24.07562162162163,53.808,37
1973,0.0317801892,24.07562162162163,53.808,37
1972,0.0341392162,24.07562162162163,53.808,37
1971,0.0355478378,24.07562162162163,53.808,37
1970,0.0320954865,24.07562162162163,53.808,37
1969,0.0339380270,24.07562162162163,53.808,37
1968,0.0311420270,24.07562162162163,53.808,37
1967,0.0330886757,24.07562162162163,53.808,37
1966,0.0318022162,24.07562162162163,53.808,37
1965,0.0321068919,24.07562162162163,53.808,37
1964,0.0321844054,24.07562162162163,53.808,37
1963,0.0311296757,24.07562162162163,53.808,37
1962,0.0330209189,24.07562162162163,53.808,37
1961,0.0317095135,24.07562162162163,53.808,37
1960,0.0326020270,24.07562162162163,53.808,37
1959,0.0311624054,24.07562162162163,53.808,37
1958,0.0301879730,24.07562162162163,53.808,37
1957,0.0330383514,24.07562162162163,53.808,37
1956,0.0322778108,24.07562162162163,53.808,37
1955,0.0327553784,24.07562162162163,53.808,37
1954,0.0335665135,24.07562162162163,53.808,37
1953,0.0301900811,24.07562162162163,53.808,37
1952,0.0335581622,24.07562162162163,53.808,37
1951,0.0332667027,24.07562162162163,53.808,37
1950,0.0308901351,24.07562162162163,53.808,37
1949,0.0313040811,24.07562162162163,53.808,37
1948,0.0305147568,24.07562162162163,53.808,37
1947,0.0343386216,24.07562162162163,53.808,37
1946,0.0309506216,24.07562162162163,53.808,37
1945,0.0321075676,24.07562162162163,53.808,37
1944,0.0308619189,24.07562162162163,53.808,37
1943,0.0326909730,24.07562162162163,53.808,37
1942,0.0332591081,24.07562162162163,53.808,37
1941,0.0332015135,24.07562162162163,53.808,37
1940,0.0310960000,24.07562162162163,53.808,37
1939,0.0343809189,24.07562162162163,53.808,37
1938,0.0344130000,24.07562162162163,53.808,37
1937,0.0339961622,24.07562162162163,53.808,37
1936,0.0344447838,24.07562162162163,53.808,37
1935,0.0302855135,24.07562162162163,53.808,37
1934,0.0341229459,24.07562162162163,53.808,37
1933,0.0338046757,24.07562162162163,53.808,37
1932,0.0321367838,24.07562162162163,53.808,37
1931,0.0315343243,24.07562162162163,53.808,37
1930,0.0317378378,24.07562162162163,53.808,37
1929,0.0318208649,24.07562162162163,53.808,37
1928,0.0337911081,24.07562162162163,53.808,37
1927,0.0333821892,24.07562162162163,53.808,37
1926,0.0308015946,24.07562162162163,53.808,37
1925,0.0332536486,24.07562162162163,53.808,37
1924,0.0326326216,24.07562162162163,53.808,37
1923,0.0328820000,24.07562162162163,53.808,37
1922,0.0322341622,24.07562162162163,53.808,37
1921,0.0327254865,24.07562162162163,53.808,37
1920,0.0314085405,24.07562162162163,53.808,37
1919,0.0314525676,24.07562162162163,53.808,37
