generation,avg(diversity),avg(p.max_fitness),max(p.max_fitness),COUNT(*)
5001,0.7337728519,11.560518518518519,31.633,27
5000,0.7345878148,11.560518518518519,31.633,27
4999,0.7328781852,11.560518518518519,31.633,27
4998,0.7334799259,11.560518518518519,31.633,27
4997,0.7354800741,11.560518518518519,31.633,27
4996,0.7315272963,11.560518518518519,31.633,27
4995,0.7323908148,11.560518518518519,31.633,27
4994,0.7338430370,11.560518518518519,31.633,27
4993,0.7324356667,11.560518518518519,31.633,27
4992,0.7335430741,11.560518518518519,31.633,27
4991,0.7340636667,11.560518518518519,31.633,27
4990,0.7306754074,11.560518518518519,31.633,27
4989,0.7316346667,11.560518518518519,31.633,27
4988,0.7309523333,11.560518518518519,31.633,27
4987,0.7357207407,11.560518518518519,31.633,27
4986,0.7357090370,11.560518518518519,31.633,27
4985,0.7336357037,11.560518518518519,31.633,27
4984,0.7328559259,11.560518518518519,31.633,27
4983,0.7326702593,11.560518518518519,31.633,27
4982,0.7348321481,11.560518518518519,31.633,27
4981,0.7345361852,11.560518518518519,31.633,27
4980,0.7320863704,11.560518518518519,31.633,27
4979,0.7336497037,11.560518518518519,31.633,27
4978,0.7312726296,11.560518518518519,31.633,27
4977,0.7316124444,11.560518518518519,31.633,27
4976,0.7335847037,11.560518518518519,31.633,27
4975,0.7291757778,11.560518518518519,31.633,27
4974,0.7357149259,11.560518518518519,31.633,27
4973,0.7334489259,11.560518518518519,31.633,27
4972,0.7338834074,11.560518518518519,31.633,27
4971,0.7328948148,11.560518518518519,31.633,27
4970,0.7351524444,11.560518518518519,31.633,27
4969,0.7331646667,11.560518518518519,31.633,27
4968,0.7324906296,11.560518518518519,31.633,27
4967,0.7331385185,11.560518518518519,31.633,27
4966,0.7363353333,11.560518518518519,31.633,27
4965,0.7322112963,11.560518518518519,31.633,27
4964,0.7350701481,11.560518518518519,31.633,27
4963,0.7331903333,11.560518518518519,31.633,27
4962,0.7339655926,11.560518518518519,31.633,27
4961,0.7321630370,11.560518518518519,31.633,27
4960,0.7338717037,11.560518518518519,31.633,27
4959,0.7347248148,11.560518518518519,31.633,27
4958,0.7357192222,11.560518518518519,31.633,27
4957,0.7322135926,11.560518518518519,31.633,27
4956,0.7344269630,11.560518518518519,31.633,27
4955,0.7285560000,11.560518518518519,31.633,27
4954,0.7352727778,11.560518518518519,31.633,27
4953,0.7329867778,11.560518518518519,31.633,27
4952,0.7337452963,11.560518518518519,31.633,27
4951,0.7343807778,11.560518518518519,31.633,27
4950,0.7321610370,11.559925925925926,31.633,27
4949,0.7334083704,11.559925925925926,31.633,27
4948,0.7335254444,11.559925925925926,31.633,27
4947,0.7326745926,11.559925925925926,31.633,27
4946,0.7344859259,11.559925925925926,31.633,27
4945,0.7322410370,11.559925925925926,31.633,27
4944,0.7348005556,11.559925925925926,31.633,27
4943,0.7317465926,11.559925925925926,31.633,27
4942,0.7330810000,11.559925925925926,31.633,27
4941,0.7315846296,11.559925925925926,31.633,27
4940,0.7323425185,11.559925925925926,31.633,27
4939,0.7342756667,11.559925925925926,31.633,27
4938,0.7354828889,11.559925925925926,31.633,27
4937,0.7325180370,11.559925925925926,31.633,27
4936,0.7319209630,11.559925925925926,31.633,27
4935,0.7316297037,11.559925925925926,31.633,27
4934,0.7322002593,11.559925925925926,31.633,27
4933,0.7312232593,11.559925925925926,31.633,27
4932,0.7321465556,11.559925925925926,31.633,27
4931,0.7350817407,11.559925925925926,31.633,27
4930,0.7339746296,11.559925925925926,31.633,27
4929,0.7317053333,11.559925925925926,31.633,27
4928,0.7339436667,11.559925925925926,31.633,27
4927,0.7347256296,11.559925925925926,31.633,27
4926,0.7316728519,11.559925925925926,31.633,27
4925,0.7341467037,11.559925925925926,31.633,27
4924,0.7319317778,11.559925925925926,31.633,27
4923,0.7338185556,11.559925925925926,31.633,27
4922,0.7330062222,11.559925925925926,31.633,27
4921,0.7301945185,11.559925925925926,31.633,27
4920,0.7342571481,11.559925925925926,31.633,27
4919,0.7352237778,11.559925925925926,31.633,27
4918,0.7353937037,11.559925925925926,31.633,27
4917,0.7301041852,11.559925925925926,31.633,27
4916,0.7317508519,11.559925925925926,31.633,27
4915,0.7337044444,11.559925925925926,31.633,27
4914,0.7332942963,11.559925925925926,31.633,27
4913,0.7349312222,11.559925925925926,31.633,27
4912,0.7323973704,11.559925925925926,31.633,27
4911,0.7359334815,11.559925925925926,31.633,27
4910,0.7345887778,11.559925925925926,31.633,27
4909,0.7319652222,11.559925925925926,31.633,27
4908,0.7336674815,11.559925925925926,31.633,27
4907,0.7321850000,11.559925925925926,31.633,27
4906,0.7337001481,11.559925925925926,31.633,27
4905,0.7306454815,11.559925925925926,31.633,27
4904,0.7339192222,11.559925925925926,31.633,27
4903,0.7332068148,11.559925925925926,31.633,27
4902,0.7344964074,11.559925925925926,31.633,27
4901,0.7331731852,11.559925925925926,31.633,27
4900,0.7289627778,11.559925925925926,31.633,27
4899,0.7320002222,11.559925925925926,31.633,27
4898,0.7322187407,11.559925925925926,31.633,27
4897,0.7325228519,11.559925925925926,31.633,27
4896,0.7328747037,11.559925925925926,31.633,27
4895,0.7343661481,11.559925925925926,31.633,27
4894,0.7301074074,11.559925925925926,31.633,27
4893,0.7331210000,11.559925925925926,31.633,27
4892,0.7333835185,11.559925925925926,31.633,27
4891,0.7321095926,11.559925925925926,31.633,27
4890,0.7317201481,11.559925925925926,31.633,27
4889,0.7338581481,11.559925925925926,31.633,27
4888,0.7335317037,11.559925925925926,31.633,27
4887,0.7335074444,11.559925925925926,31.633,27
4886,0.7335036296,11.559925925925926,31.633,27
4885,0.7323941852,11.559925925925926,31.633,27
4884,0.7343047037,11.559925925925926,31.633,27
4883,0.7298545185,11.559925925925926,31.633,27
4882,0.7325309259,11.559925925925926,31.633,27
4881,0.7346551481,11.559925925925926,31.633,27
4880,0.7314122222,11.559925925925926,31.633,27
4879,0.7347131852,11.559925925925926,31.633,27
4878,0.7345728519,11.559925925925926,31.633,27
4877,0.7330571852,11.559925925925926,31.633,27
4876,0.7310206296,11.559925925925926,31.633,27
4875,0.7348977778,11.559925925925926,31.633,27
4874,0.7353368889,11.559925925925926,31.633,27
4873,0.7318602963,11.559925925925926,31.633,27
4872,0.7334744444,11.559925925925926,31.633,27
4871,0.7346410741,11.559925925925926,31.633,27
4870,0.7343939259,11.559925925925926,31.633,27
4869,0.7313232593,11.559925925925926,31.633,27
4868,0.7326035556,11.559925925925926,31.633,27
4867,0.7307372222,11.559925925925926,31.633,27
4866,0.7328661111,11.559925925925926,31.633,27
4865,0.7316618519,11.559925925925926,31.633,27
4864,0.7312538519,11.559925925925926,31.633,27
4863,0.7335641481,11.559925925925926,31.633,27
4862,0.7297275926,11.559925925925926,31.633,27
4861,0.7328736296,11.559925925925926,31.633,27
4860,0.7317627407,11.559925925925926,31.633,27
4859,0.7333193704,11.559925925925926,31.633,27
4858,0.7336156667,11.559925925925926,31.633,27
4857,0.7334471481,11.559925925925926,31.633,27
4856,0.7315137778,11.559925925925926,31.633,27
4855,0.7335265185,11.559925925925926,31.633,27
4854,0.7327356296,11.559925925925926,31.633,27
4853,0.7336620000,11.559925925925926,31.633,27
4852,0.7344506667,11.559925925925926,31.633,27
4851,0.7339488148,11.559925925925926,31.633,27
4850,0.7315543704,11.559925925925926,31.633,27
4849,0.7318566667,11.559925925925926,31.633,27
4848,0.7310678519,11.559925925925926,31.633,27
4847,0.7298280000,11.559925925925926,31.633,27
4846,0.7361600370,11.559925925925926,31.633,27
4845,0.7330318889,11.559925925925926,31.633,27
4844,0.7309388519,11.559925925925926,31.633,27
4843,0.7332066667,11.559925925925926,31.633,27
4842,0.7309691852,11.559925925925926,31.633,27
4841,0.7337753704,11.559925925925926,31.633,27
4840,0.7338907778,11.559925925925926,31.633,27
4839,0.7332614074,11.559925925925926,31.633,27
4838,0.7326491111,11.559925925925926,31.633,27
4837,0.7345569630,11.559925925925926,31.633,27
4836,0.7336588148,11.559925925925926,31.633,27
4835,0.7342074815,11.559925925925926,31.633,27
4834,0.7308767778,11.559925925925926,31.633,27
4833,0.7329369259,11.559925925925926,31.633,27
4832,0.7328451111,11.559925925925926,31.633,27
4831,0.7302968148,11.559925925925926,31.633,27
4830,0.7343297778,11.559925925925926,31.633,27
4829,0.7330595185,11.559925925925926,31.633,27
4828,0.7346832222,11.559925925925926,31.633,27
4827,0.7331954815,11.559925925925926,31.633,27
4826,0.7340702593,11.559925925925926,31.633,27
4825,0.7355622222,11.559925925925926,31.633,27
4824,0.7338240741,11.559925925925926,31.633,27
4823,0.7332598519,11.559925925925926,31.633,27
4822,0.7317743333,11.559925925925926,31.633,27
4821,0.7339571481,11.559925925925926,31.633,27
4820,0.7322298148,11.559925925925926,31.633,27
4819,0.7335876296,11.559925925925926,31.633,27
4818,0.7315656296,11.559925925925926,31.633,27
4817,0.7325408519,11.559925925925926,31.633,27
4816,0.7318512963,11.559925925925926,31.633,27
4815,0.7332932593,11.559925925925926,31.633,27
4814,0.7325196296,11.559925925925926,31.633,27
4813,0.7310168889,11.559925925925926,31.633,27
4812,0.7317654074,11.559925925925926,31.633,27
4811,0.7306815185,11.559925925925926,31.633,27
4810,0.7324566667,11.559925925925926,31.633,27
4809,0.7323624444,11.559925925925926,31.633,27
4808,0.7329275185,11.559925925925926,31.633,27
4807,0.7307007407,11.559925925925926,31.633,27
4806,0.7343173704,11.559925925925926,31.633,27
4805,0.7332217037,11.559925925925926,31.633,27
4804,0.7351534815,11.559925925925926,31.633,27
4803,0.7326845926,11.559925925925926,31.633,27
4802,0.7327891481,11.559925925925926,31.633,27
4801,0.7337874074,11.559925925925926,31.633,27
4800,0.7338110000,11.559925925925926,31.633,27
4799,0.7322320741,11.559925925925926,31.633,27
4798,0.7327765926,11.559925925925926,31.633,27
4797,0.7339460370,11.559925925925926,31.633,27
4796,0.7346199259,11.559925925925926,31.633,27
4795,0.7334395926,11.559925925925926,31.633,27
4794,0.7344660370,11.559925925925926,31.633,27
4793,0.7359820370,11.559925925925926,31.633,27
4792,0.7306827407,11.559925925925926,31.633,27
4791,0.7312315926,11.559925925925926,31.633,27
4790,0.7323820741,11.559925925925926,31.633,27
4789,0.7351581852,11.559925925925926,31.633,27
4788,0.7304829259,11.559925925925926,31.633,27
4787,0.7332279259,11.559925925925926,31.633,27
4786,0.7335583704,11.559925925925926,31.633,27
4785,0.7297907407,11.559925925925926,31.633,27
4784,0.7317772222,11.559925925925926,31.633,27
4783,0.7343727407,11.559925925925926,31.633,27
4782,0.7353005926,11.559925925925926,31.633,27
4781,0.7333302963,11.559925925925926,31.633,27
4780,0.7324318519,11.559925925925926,31.633,27
4779,0.7305411481,11.559925925925926,31.633,27
4778,0.7323406296,11.559925925925926,31.633,27
4777,0.7321091852,11.559925925925926,31.633,27
4776,0.7321890370,11.559925925925926,31.633,27
4775,0.7317485926,11.559925925925926,31.633,27
4774,0.7333605185,11.559925925925926,31.633,27
4773,0.7336030000,11.559925925925926,31.633,27
4772,0.7339409259,11.559925925925926,31.633,27
4771,0.7317630741,11.559925925925926,31.633,27
4770,0.7338730370,11.559925925925926,31.633,27
4769,0.7333868148,11.559925925925926,31.633,27
4768,0.7331547778,11.559925925925926,31.633,27
4767,0.7330538519,11.559925925925926,31.633,27
4766,0.7337977407,11.559925925925926,31.633,27
4765,0.7340898519,11.559925925925926,31.633,27
4764,0.7306484074,11.559925925925926,31.633,27
4763,0.7348428148,11.559925925925926,31.633,27
4762,0.7340599630,11.559925925925926,31.633,27
4761,0.7338327407,11.559925925925926,31.633,27
4760,0.7332294074,11.559925925925926,31.633,27
4759,0.7333538519,11.559925925925926,31.633,27
4758,0.7340477407,11.559925925925926,31.633,27
4757,0.7307072222,11.559925925925926,31.633,27
4756,0.7325925926,11.559925925925926,31.633,27
4755,0.7343028148,11.559925925925926,31.633,27
4754,0.7347412222,11.559925925925926,31.633,27
4753,0.7338392593,11.559925925925926,31.633,27
4752,0.7345182593,11.559925925925926,31.633,27
4751,0.7340117407,11.559925925925926,31.633,27
4750,0.7345394815,11.559925925925926,31.633,27
4749,0.7338715185,11.559925925925926,31.633,27
4748,0.7339742593,11.559925925925926,31.633,27
4747,0.7347009259,11.559925925925926,31.633,27
4746,0.7345677778,11.559925925925926,31.633,27
4745,0.7352237037,11.559925925925926,31.633,27
4744,0.7325034815,11.559925925925926,31.633,27
4743,0.7365012593,11.559925925925926,31.633,27
4742,0.7338514444,11.559925925925926,31.633,27
4741,0.7348162222,11.559925925925926,31.633,27
4740,0.7338800741,11.559925925925926,31.633,27
4739,0.7300004444,11.559925925925926,31.633,27
4738,0.7334844074,11.559925925925926,31.633,27
4737,0.7330128889,11.559925925925926,31.633,27
4736,0.7327908148,11.559925925925926,31.633,27
4735,0.7321579630,11.559925925925926,31.633,27
4734,0.7333220000,11.559925925925926,31.633,27
4733,0.7326232593,11.559925925925926,31.633,27
4732,0.7336247778,11.559925925925926,31.633,27
4731,0.7330282593,11.559925925925926,31.633,27
4730,0.7310977407,11.559925925925926,31.633,27
4729,0.7323445185,11.559925925925926,31.633,27
4728,0.7331826667,11.559925925925926,31.633,27
4727,0.7331380000,11.559925925925926,31.633,27
4726,0.7342890370,11.559925925925926,31.633,27
4725,0.7319564815,11.559925925925926,31.633,27
4724,0.7343666667,11.559925925925926,31.633,27
4723,0.7338068148,11.559925925925926,31.633,27
4722,0.7351535185,11.559925925925926,31.633,27
4721,0.7327395185,11.559925925925926,31.633,27
4720,0.7324906667,11.559925925925926,31.633,27
4719,0.7322005556,11.559925925925926,31.633,27
4718,0.7326472963,11.559925925925926,31.633,27
4717,0.7348256667,11.559925925925926,31.633,27
4716,0.7358106296,11.559925925925926,31.633,27
4715,0.7326458148,11.559925925925926,31.633,27
4714,0.7333196667,11.559925925925926,31.633,27
4713,0.7330339630,11.559925925925926,31.633,27
4712,0.7333233704,11.559925925925926,31.633,27
4711,0.7329036296,11.559925925925926,31.633,27
4710,0.7312797037,11.559925925925926,31.633,27
4709,0.7331897778,11.559925925925926,31.633,27
4708,0.7330383333,11.559925925925926,31.633,27
